equipo,hdd_uso,hdd_inestabilidad,hdd_tasa_cambio,unidades_hdd,registros_hdd,hdd_uso_score,hdd_inestabilidad_score,hdd_tasa_cambio_score,score_final,explicacion,recomendaciones,categoria,posicion
1620,45.78698258898017,2.6562760867249344,3787.8837981059805,"['Z:', 'avg', 'C:']",24,44.44,4.04,14.14,20.873333333333335,Uso: 44.4pts | Estabilidad: 4.0pts | Cambios: 14.1pts,Optimizar uso HDD; Reducir variabilidad HDD; Estabilizar cambios HDD,Necesita Mejora,82
1621,46.19217828551146,2.7407985497200236,1860.9391873378365,"['Z:', 'avg', 'C:']",24,39.39,2.02,21.21,20.873333333333335,Uso: 39.4pts | Estabilidad: 2.0pts | Cambios: 21.2pts,Optimizar uso HDD; Reducir variabilidad HDD; Estabilizar cambios HDD,Necesita Mejora,83
1622,46.82798627482118,2.7216273216367806,1871.2989125694185,"['Z:', 'avg', 'C:']",24,38.38,3.03,20.2,20.536666666666665,Uso: 38.4pts | Estabilidad: 3.0pts | Cambios: 20.2pts,Optimizar uso HDD; Reducir variabilidad HDD; Estabilizar cambios HDD,Necesita Mejora,84
1627,46.9159331700513,2.2902719156387743,2098.1880861419886,"['Z:', 'avg', 'C:']",24,37.37,7.07,17.17,20.536666666666665,Uso: 37.4pts | Estabilidad: 7.1pts | Cambios: 17.2pts,Optimizar uso HDD; Reducir variabilidad HDD; Estabilizar cambios HDD,Necesita Mejora,85
1615,45.626829369009954,2.4463059490103833,8738.33472221827,"['Z:', 'avg', 'C:']",24,45.45,6.06,6.06,19.19,Uso: 45.5pts | Estabilidad: 6.1pts | Cambios: 6.1pts,Optimizar uso HDD; Reducir variabilidad HDD; Estabilizar cambios HDD,Necesita Mejora,86
1612,52.42999291858425,2.077829119203465,424.0255052537109,"['Z:', 'avg', 'C:']",24,17.17,11.11,28.28,18.85333333333333,Uso: 17.2pts | Estabilidad: 11.1pts | Cambios: 28.3pts,Optimizar uso HDD; Reducir variabilidad HDD; Estabilizar cambios HDD,Necesita Mejora,87
1619,50.97451385704716,1.6642214208508974,7415.226130252212,"['Z:', 'avg', 'C:']",24,27.27,18.18,11.11,18.85333333333333,Uso: 27.3pts | Estabilidad: 18.2pts | Cambios: 11.1pts,Optimizar uso HDD; Reducir variabilidad HDD; Estabilizar cambios HDD,Necesita Mejora,88
1625,49.905162259984735,1.8369767930200898,8393.484587541714,"['Z:', 'avg', 'C:']",24,32.32,15.15,8.08,18.516666666666666,Uso: 32.3pts | Estabilidad: 15.2pts | Cambios: 8.1pts,Optimizar uso HDD; Reducir variabilidad HDD; Estabilizar cambios HDD,Necesita Mejora,89
1633,56.71627761925553,0.36053705406055575,8067.773513636187,"['Z:', 'avg', 'C:']",24,10.1,35.35,9.09,18.18,Uso: 10.1pts | Estabilidad: 35.4pts | Cambios: 9.1pts,Optimizar uso HDD; Reducir variabilidad HDD; Estabilizar cambios HDD,Necesita Mejora,90
1618,52.0459278340013,1.2596089140544648,3199.0874427927597,"['Z:', 'avg', 'C:']",24,20.2,19.19,15.15,18.18,Uso: 20.2pts | Estabilidad: 19.2pts | Cambios: 15.2pts,Optimizar uso HDD; Reducir variabilidad HDD; Estabilizar cambios HDD,Necesita Mejora,91
1624,49.88144663737859,1.856452463887159,8503.422960248328,"['Z:', 'avg', 'C:']",24,33.33,14.14,7.07,18.18,Uso: 33.3pts | Estabilidad: 14.1pts | Cambios: 7.1pts,Optimizar uso HDD; Reducir variabilidad HDD; Estabilizar cambios HDD,Necesita Mejora,92
30,61.98620992344607,0.8856259662819155,657.8992593652065,"['avg', 'E:', 'D:', 'C:']",32,6.06,22.22,24.24,17.506666666666664,Uso: 6.1pts | Estabilidad: 22.2pts | Cambios: 24.2pts,Optimizar uso HDD; Reducir variabilidad HDD; Estabilizar cambios HDD,Necesita Mejora,93
88,65.75101810403886,0.874066730367247,2011.5970873034316,"['avg', 'E:', 'D:', 'C:']",32,4.04,23.23,18.18,15.149999999999999,Uso: 4.0pts | Estabilidad: 23.2pts | Cambios: 18.2pts,Optimizar uso HDD; Reducir variabilidad HDD; Estabilizar cambios HDD,Necesita Mejora,94
1617,50.19754821530154,2.2439976297655466,10378.294994727277,"['Z:', 'avg', 'C:']",24,30.3,8.08,3.03,13.803333333333333,Uso: 30.3pts | Estabilidad: 8.1pts | Cambios: 3.0pts,Optimizar uso HDD; Reducir variabilidad HDD; Estabilizar cambios HDD,Necesita Mejora,95
1623,57.832215347319504,2.046776579535773,1871.409844539911,"['Z:', 'avg', 'C:']",24,9.09,12.12,19.19,13.466666666666665,Uso: 9.1pts | Estabilidad: 12.1pts | Cambios: 19.2pts,Optimizar uso HDD; Reducir variabilidad HDD; Estabilizar cambios HDD,Necesita Mejora,96
62,48.250073483629045,12.09940632464696,18755.452238320664,"['G:', 'C:', 'E:', 'D:', 'avg']",40,35.35,1.01,1.01,12.456666666666665,Uso: 35.4pts | Estabilidad: 1.0pts | Cambios: 1.0pts,Optimizar uso HDD; Reducir variabilidad HDD; Estabilizar cambios HDD,Necesita Mejora,97
1611,52.437972903530806,2.169922350982897,9804.974843120015,"['Z:', 'avg', 'C:']",24,16.16,10.1,4.04,10.100000000000001,Uso: 16.2pts | Estabilidad: 10.1pts | Cambios: 4.0pts,Optimizar uso HDD; Reducir variabilidad HDD; Estabilizar cambios HDD,Necesita Mejora,98
1613,54.35503875614821,2.214564084350488,10831.521114711117,"['Z:', 'avg', 'C:']",24,11.11,9.09,2.02,7.406666666666666,Uso: 11.1pts | Estabilidad: 9.1pts | Cambios: 2.0pts,Optimizar uso HDD; Reducir variabilidad HDD; Estabilizar cambios HDD,Necesita Mejora,99
124,72.43422639047128,20.58114268251731,51254.12564917006,"['avg', 'E:', 'D:', 'C:']",32,1.01,0.0,0.0,0.33666666666666667,Uso: 1.0pts | Estabilidad: 0.0pts | Cambios: 0.0pts,Optimizar uso HDD; Reducir variabilidad HDD; Estabilizar cambios HDD,Necesita Mejora,100
