equipo,cp_llenado,cp_inestabilidad,cp_tasa_cambio,areas_cp,registros_cp,cp_llenado_score,cp_inestabilidad_score,cp_tasa_cambio_score,score_final,explicacion,recomendaciones,categoria,posicion
27,7119.6662333031745,266.31779176562503,21464.966362481904,"['PP_NFD', 'IOLOAD', 'totmem', 'CUMOVR', 'OMOVRN', 'TLCONS', 'OMLDAV', 'CPLOAD', 'MAXMEM']",65,61.82,21.82,43.64,42.42666666666666,Llenado: 61.8pts | Estabilidad: 21.8pts | Cambios: 43.6pts,Reducir variabilidad CP; Estabilizar cambios CP,Regular,36
56,7742.65654656111,27912.1582289085,35172.20457116361,"['PP_NFD', 'IOLOAD', 'totmem', 'CUMOVR', 'OMOVRN', 'TLCONS', 'OMLDAV', 'CPLOAD', 'MAXMEM']",65,94.55,10.91,18.18,41.21333333333334,Llenado: 94.5pts | Estabilidad: 10.9pts | Cambios: 18.2pts,Reducir variabilidad CP; Estabilizar cambios CP,Regular,37
111,7117.885817999281,153.245386422624,22998.741227647366,"['PP_NFD', 'IOLOAD', 'totmem', 'CUMOVR', 'OMOVRN', 'TLCONS', 'OMLDAV', 'CPLOAD', 'MAXMEM']",65,40.0,43.64,40.0,41.21333333333333,Llenado: 40.0pts | Estabilidad: 43.6pts | Cambios: 40.0pts,Mejorar ocupación CP; Reducir variabilidad CP; Estabilizar cambios CP,Regular,38
58,7116.886824778572,116.21685732794316,27476.741419876696,"['PP_NFD', 'IOLOAD', 'totmem', 'CUMOVR', 'OMOVRN', 'TLCONS', 'OMLDAV', 'CPLOAD', 'MAXMEM']",65,21.82,70.91,30.91,41.21333333333333,Llenado: 21.8pts | Estabilidad: 70.9pts | Cambios: 30.9pts,Mejorar ocupación CP; Estabilizar cambios CP,Regular,39
181,7118.813287337751,142.191758921215,35780.44503208801,"['PP_NFD', 'IOLOAD', 'totmem', 'CUMOVR', 'OMOVRN', 'TLCONS', 'OMLDAV', 'CPLOAD', 'MAXMEM']",72,50.91,56.36,16.36,41.209999999999994,Llenado: 50.9pts | Estabilidad: 56.4pts | Cambios: 16.4pts,Estabilizar cambios CP,Regular,40
179,7115.747586407323,68.00275902480043,56468.253849294095,"['PP_NFD', 'IOLOAD', 'totmem', 'CUMOVR', 'OMOVRN', 'TLCONS', 'OMLDAV', 'CPLOAD', 'MAXMEM']",72,10.91,89.09,7.27,35.75666666666666,Llenado: 10.9pts | Estabilidad: 89.1pts | Cambios: 7.3pts,Mejorar ocupación CP; Estabilizar cambios CP,Regular,41
79,7115.747574356349,114.45480461061818,33150.31182106289,"['PP_NFD', 'IOLOAD', 'totmem', 'CUMOVR', 'OMOVRN', 'TLCONS', 'OMLDAV', 'CPLOAD', 'MAXMEM']",65,9.09,74.55,20.0,34.54666666666667,Llenado: 9.1pts | Estabilidad: 74.5pts | Cambios: 20.0pts,Mejorar ocupación CP; Estabilizar cambios CP,Regular,42
82,7117.840052376985,240.1408038241471,23497.471808215272,"['PP_NFD', 'IOLOAD', 'totmem', 'CUMOVR', 'OMOVRN', 'TLCONS', 'OMLDAV', 'CPLOAD', 'MAXMEM']",65,36.36,27.27,38.18,33.93666666666667,Llenado: 36.4pts | Estabilidad: 27.3pts | Cambios: 38.2pts,Mejorar ocupación CP; Reducir variabilidad CP; Estabilizar cambios CP,Regular,43
55,7173.4329703412695,30764.04749295981,2034856.0899527068,"['PP_NFD', 'IOLOAD', 'totmem', 'CUMOVR', 'OMOVRN', 'TLCONS', 'OMLDAV', 'CPLOAD', 'MAXMEM']",65,90.91,9.09,0.0,33.33333333333333,Llenado: 90.9pts | Estabilidad: 9.1pts | Cambios: 0.0pts,Reducir variabilidad CP; Estabilizar cambios CP,Regular,44
85,7121.955328392064,337.4814824687371,75518.43700082533,"['PP_NFD', 'IOLOAD', 'totmem', 'CUMOVR', 'OMOVRN', 'TLCONS', 'OMLDAV', 'CPLOAD', 'MAXMEM']",65,76.36,18.18,5.45,33.33,Llenado: 76.4pts | Estabilidad: 18.2pts | Cambios: 5.5pts,Reducir variabilidad CP; Estabilizar cambios CP,Regular,45
